agent,agent_name,average_action_count,average_agent_cost,average_benchmark_cost,average_invalid_action_count,average_invalid_action_percent,average_score,average_steps,benchmark,benchmark_name,benchmark_score,completed_sessions,incomplete_sessions,missing_sessions,model,model_name,percent_error,percent_finished,percent_finished_successful,percent_finished_unsuccessful,percent_successful,percent_unfinished,planned_sessions,subset_name,successful_sessions,total_agent_cost,total_benchmark_cost,total_run_cost,total_sessions
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,32.47,1.30485292,0,0.56,1.724668925,0.81458,22.59,appworld_test_normal,AppWorld,0.55,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.55,0.45,0.55,0,100,test_normal,55,130.485292,0,130.485292,100
claude_code,Claude Code CLI,14.33333333,11.65879637,0.001638705882,0,0,0.5294117647,31.03921569,browsecompplus,BrowseCompPlus,0.5294117647,,,,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,0.8431372549,0.5294117647,0.3137254902,0.5294117647,0.1568627451,51,,27,594.598615,0.083574,594.682189,51
claude_code,Claude Code CLI,0,0.4293807,0.00169218,0,,0.43,8.97,browsecompplus,BrowseCompPlus,0.43,,,,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.43,0.57,0.43,0,100,,43,42.93807,0.169218,43.107288,100
claude_code,Claude Code CLI,0,2.84529442,0.00146346,0,,0.51,22.88,browsecompplus,BrowseCompPlus,0.51,,,,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,0.7,0.51,0.19,0.51,0.3,100,,51,284.529442,0.146346,284.675788,100
openai_solo,OpenAI Solo,0,7.59245735,0.00191776,0,,0.61,27.18,browsecompplus,BrowseCompPlus,0.61,,,,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.61,0.39,0.61,0,100,,61,759.245735,0.191776,759.437511,100
openai_solo,OpenAI Solo,0,0.38043726,0.00167464,0,,0.48,14.27,browsecompplus,BrowseCompPlus,0.48,,,,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.48,0.52,0.48,0,100,,48,38.043726,0.167464,38.21119,100
openai_solo,OpenAI Solo,0,0.6433071111,0.001068464646,0,,0.3333333333,8.454545455,browsecompplus,BrowseCompPlus,0.3333333333,,,,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0.0202020202,0.6060606061,0.3333333333,0.2727272727,0.3333333333,0.3737373737,99,,33,63.687404,0.105778,63.793182,99
smolagents_code,SmolAgents Code,0,6.30372505,0.00183026,0,,0.61,24.16,browsecompplus,BrowseCompPlus,0.61,,,,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.61,0.39,0.61,0,100,,61,630.372505,0.183026,630.555531,100
smolagents_code,SmolAgents Code,0,0.17156755,0.00154748,0,,0.26,6.57,browsecompplus,BrowseCompPlus,0.26,,,,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,0.99,0.26,0.73,0.26,0.01,100,,26,17.156755,0.154748,17.311503,100
smolagents_code,SmolAgents Code,0,2.38885126,0.00113834,0,,0.57,29.63,browsecompplus,BrowseCompPlus,0.57,,,,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,0.69,0.57,0.12,0.57,0.31,100,,57,238.885126,0.113834,238.99896,100
tool_calling,LiteLLM Tool Calling,0,7.09363285,0.00176244,0,,0.49,21.66,browsecompplus,BrowseCompPlus,0.49,,,,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0.01,0.93,0.49,0.44,0.49,0.06,100,,49,709.363285,0.176244,709.539529,100
tool_calling,LiteLLM Tool Calling,0,0.296172625,0.001666,0,,0.46,8.14,browsecompplus,BrowseCompPlus,0.46,,,,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,0.99,0.46,0.53,0.46,0.01,100,,46,29.6172625,0.1666,29.7838625,100
tool_calling,LiteLLM Tool Calling,0,0.43943356,0.00235722,0,,0.48,7.85,browsecompplus,BrowseCompPlus,0.48,,,,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,0.99,0.48,0.51,0.48,0.01,100,,48,43.943356,0.235722,44.179078,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,0,7.09363285,0.00176244,0,,0.49,21.66,browsecompplus,BrowseCompPlus,0.49,,,,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0.01,0.93,0.49,0.44,0.49,0.06,100,,49,709.363285,0.176244,709.539529,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,0,0.296172625,0.001666,0,,0.46,8.14,browsecompplus,BrowseCompPlus,0.46,,,,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,0.99,0.46,0.53,0.46,0.01,100,,46,29.6172625,0.1666,29.7838625,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,0,0.43943356,0.00235722,0,,0.48,7.85,browsecompplus,BrowseCompPlus,0.48,,,,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,0.99,0.48,0.51,0.48,0.01,100,,48,43.943356,0.235722,44.179078,100
claude_code,Claude Code CLI,0,5.604360979,0,0,,0.7422680412,31.7628866,swebench,SWE-bench,0.7422680412,97,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,1,0,1,0,97,,97,543.623015,0,543.623015,97
claude_code,Claude Code CLI,1.63,0.939754725,0,0,0,0.58,23.99,swebench,SWE-bench,0.58,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,1,0,1,0,100,,100,93.9754725,0,93.9754725,100
claude_code,Claude Code CLI,0,3.67966876,0,0,,0.67,43.72,swebench,SWE-bench,0.67,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.99,0.01,0.99,0,100,,99,367.966876,0,367.966876,100
openai_solo,OpenAI Solo,7.43373494,2.961261205,0,0,0,0.8072289157,34.09638554,swebench,SWE-bench,0.8072289157,83,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,1,0,1,0,83,,83,245.78468,0,245.78468,83
openai_solo,OpenAI Solo,0,0.2590178359,0,0,,0.5454545455,20.44444444,swebench,SWE-bench,0.5454545455,99,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.9898989899,0.0101010101,0.9898989899,0,99,,98,25.64276575,0,25.64276575,99
openai_solo,OpenAI Solo,6.531914894,1.579177979,0,0,0,0.7234042553,32.36170213,swebench,SWE-bench,0.7234042553,94,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,1,0,1,0,94,,94,148.44273,0,148.44273,94
smolagents_code,SmolAgents Code,15.77,4.85218325,0,0,0,0.65,39.13,swebench,SWE-bench,0.65,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,1,0,1,0,100,,100,485.218325,0,485.218325,100
smolagents_code,SmolAgents Code,2.848484848,0.4503179545,0,0,0,0.5252525253,19.97979798,swebench,SWE-bench,0.5252525253,99,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,1,0,1,0,99,,99,44.5814775,0,44.5814775,99
smolagents_code,SmolAgents Code,0,2.209661838,0,0,,0.7575757576,38.1010101,swebench,SWE-bench,0.7575757576,99,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,1,0,1,0,99,,99,218.756522,0,218.756522,99
tool_calling,LiteLLM Tool Calling,16.87878788,3.971294949,0,0,0,0.6060606061,43.44444444,swebench,SWE-bench,0.6060606061,99,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,1,0,1,0,99,,99,393.1582,0,393.1582,99
tool_calling,LiteLLM Tool Calling,0,0.247620555,0,0,,0.58,20.47,swebench,SWE-bench,0.57,,,,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,1,0,1,0,100,,100,24.7620555,0,24.7620555,100
tool_calling,LiteLLM Tool Calling,0,0.69561342,0,0,,0.71,32.55,swebench,SWE-bench,0.71,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,1,0,1,0,100,,100,69.561342,0,69.561342,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,16.87878788,3.971294949,0,0,0,0.6060606061,43.44444444,swebench,SWE-bench,0.6060606061,99,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,1,0,1,0,99,,99,393.1582,0,393.1582,99
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,0,0.247620555,0,0,,0.58,20.47,swebench,SWE-bench,0.57,,,,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,1,0,1,0,100,,100,24.7620555,0,24.7620555,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,0,0.69561342,0,0,,0.71,32.55,swebench,SWE-bench,0.71,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,1,0,1,0,100,,100,69.561342,0,69.561342,100
claude_code,Claude Code CLI,11.5,1.2993549,0.01385984,0,0,0.66,11.5,tau2_airline,Tau Bench 2,0.66,50,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.66,0.34,0.66,0,50,airline,33,64.967745,0.692992,65.660737,50
claude_code,Claude Code CLI,4.12,0.21338296,0.011296368,0,0,0.48,10.18,tau2_airline,Tau Bench 2,0.48,50,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.48,0.52,0.48,0,50,airline,24,10.669148,0.5648184,11.2339664,50
claude_code,Claude Code CLI,12.62,0.3394426,0.009577789,0,0,0.7,12.62,tau2_airline,Tau Bench 2,0.7,50,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.7,0.3,0.7,0,50,airline,35,16.97213,0.47888945,17.45101945,50
openai_solo,OpenAI Solo,12.22,0.7165842,0.01447882,0,0,0.74,12.22,tau2_airline,Tau Bench 2,0.74,50,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.74,0.26,0.74,0,50,airline,37,35.82921,0.723941,36.553151,50
openai_solo,OpenAI Solo,11.4,0.10711806,0.00821618,0,0,0.5,11.4,tau2_airline,Tau Bench 2,0.5,50,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.5,0.5,0.5,0,50,airline,25,5.355903,0.410809,5.766712,50
openai_solo,OpenAI Solo,10.9,0.21380212,0.009738996,0,0,0.62,10.9,tau2_airline,Tau Bench 2,0.62,50,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.62,0.38,0.62,0,50,airline,31,10.690106,0.4869498,11.1770558,50
smolagents_code,SmolAgents Code,11.88,0.7801528,0.01333918,0,0,0.72,11.88,tau2_airline,Tau Bench 2,0.72,50,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.72,0.28,0.72,0,50,airline,36,39.00764,0.666959,39.674599,50
smolagents_code,SmolAgents Code,10.68,0.293271755,0.012412323,0,0,0.6,10.68,tau2_airline,Tau Bench 2,0.6,50,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.6,0.4,0.6,0,50,airline,30,14.66358775,0.62061615,15.2842039,50
smolagents_code,SmolAgents Code,12.28,0.19590488,0.009922067,0,0,0.68,12.28,tau2_airline,Tau Bench 2,0.68,50,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.68,0.32,0.68,0,50,airline,34,9.795244,0.49610335,10.29134735,50
tool_calling,LiteLLM Tool Calling,12.02,0.4692376,0.01531682,0,0,0.66,10,tau2_airline,Tau Bench 2,0.66,50,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.66,0.34,0.66,0,50,airline,33,23.46188,0.765841,24.227721,50
tool_calling,LiteLLM Tool Calling,12.06,0.125104735,0.014180768,0,0,0.54,11.22,tau2_airline,Tau Bench 2,0.54,50,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.54,0.46,0.54,0,50,airline,27,6.25523675,0.7090384,6.96427515,50
tool_calling,LiteLLM Tool Calling,12.72,0.15854968,0.01097688,0,0,0.7,10.14,tau2_airline,Tau Bench 2,0.7,50,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.7,0.3,0.7,0,50,airline,35,7.927484,0.548844,8.476328,50
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,12.02,0.4692376,0.01531682,0,0,0.66,10,tau2_airline,Tau Bench 2,0.66,50,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.66,0.34,0.66,0,50,airline,33,23.46188,0.765841,24.227721,50
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,12.06,0.125104735,0.014180768,0,0,0.54,11.22,tau2_airline,Tau Bench 2,0.54,50,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.54,0.46,0.54,0,50,airline,27,6.25523675,0.7090384,6.96427515,50
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,12.72,0.15854968,0.01097688,0,0,0.7,10.14,tau2_airline,Tau Bench 2,0.7,50,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.7,0.3,0.7,0,50,airline,35,7.927484,0.548844,8.476328,50
claude_code,Claude Code CLI,12.54,1.59852325,0.01283548,0,0,0.83,12.54,tau2_retail,Tau Bench 2,0.83,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.83,0.17,0.83,0,100,retail,83,159.852325,1.283548,161.135873,100
claude_code,Claude Code CLI,6.68,0.1200643675,0.006262746,0,0,0.51,9.92,tau2_retail,Tau Bench 2,0.51,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,0.98,0.64,0.34,0.64,0.02,100,retail,64,12.00643675,0.6262746,12.63271135,100
claude_code,Claude Code CLI,11.18,0.18525812,0.0085106855,0,0,0.71,11.18,tau2_retail,Tau Bench 2,0.7804878049,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.71,0.29,0.71,0,100,retail,71,18.525812,0.85106855,19.37688055,100
openai_solo,OpenAI Solo,12.54,0.5495812,0.01219595,0,0,0.85,12.54,tau2_retail,Tau Bench 2,0.85,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.85,0.15,0.85,0,100,retail,85,54.95812,1.219595,56.177715,100
openai_solo,OpenAI Solo,9.55,0.107783305,0.007619346,0,0,0.53,9.55,tau2_retail,Tau Bench 2,0.5353535354,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,0.99,0.53,0.46,0.53,0.01,100,retail,53,10.7783305,0.7619346,11.5402651,100
openai_solo,OpenAI Solo,10.62,0.266485,0.0082976375,0,0,0.73,10.62,tau2_retail,Tau Bench 2,0.73,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.73,0.27,0.73,0,100,retail,73,26.6485,0.82976375,27.47826375,100
smolagents_code,SmolAgents Code,11.71,0.6711861,0.01122397,0,0,0.78,11.71,tau2_retail,Tau Bench 2,0.78,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.78,0.22,0.78,0,100,retail,78,67.11861,1.122397,68.241007,100
smolagents_code,SmolAgents Code,11.08,0.2519468525,0.010712632,0,0,0.68,11.08,tau2_retail,Tau Bench 2,0.68,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.68,0.32,0.68,0,100,retail,68,25.19468525,1.0712632,26.26594845,100
smolagents_code,SmolAgents Code,11.3,0.2056864,0.0086175375,0,0,0.75,11.3,tau2_retail,Tau Bench 2,0.7575757576,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.75,0.25,0.75,0,100,retail,75,20.56864,0.86175375,21.43039375,100
tool_calling,LiteLLM Tool Calling,12.18,0.46742525,0.0126594,0,0,0.78,11.33,tau2_retail,Tau Bench 2,0.78,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.78,0.22,0.78,0,100,retail,78,46.742525,1.26594,48.008465,100
tool_calling,LiteLLM Tool Calling,11.26,0.1109317125,0.011788217,0.01,0.08880994671,0.73,10.33,tau2_retail,Tau Bench 2,0.73,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.73,0.27,0.73,0,100,retail,73,11.09317125,1.1788217,12.27199295,100
tool_calling,LiteLLM Tool Calling,12.24,0.15649692,0.00991184,0,0,0.82,11.25,tau2_retail,Tau Bench 2,0.82,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.82,0.18,0.82,0,100,retail,82,15.649692,0.991184,16.640876,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,12.18,0.46742525,0.0126594,0,0,0.78,11.33,tau2_retail,Tau Bench 2,0.78,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.78,0.22,0.78,0,100,retail,78,46.742525,1.26594,48.008465,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,11.26,0.1109317125,0.011788217,0.01,0.08880994671,0.73,10.33,tau2_retail,Tau Bench 2,0.73,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.73,0.27,0.73,0,100,retail,73,11.09317125,1.1788217,12.27199295,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,12.24,0.15649692,0.00991184,0,0,0.82,11.25,tau2_retail,Tau Bench 2,0.82,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.82,0.18,0.82,0,100,retail,82,15.649692,0.991184,16.640876,100
claude_code,Claude Code CLI,18.71,2.4488646,0.11086118,0,0,0.76,18.71,tau2_telecom,Tau Bench 2,0.76,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.76,0.24,0.76,0,100,telecom,76,244.88646,11.086118,255.972578,100
claude_code,Claude Code CLI,6.57,0.0980149625,0.053513222,0,0,0.55,9.36,tau2_telecom,Tau Bench 2,0.55,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.55,0.45,0.55,0,100,telecom,55,9.80149625,5.3513222,15.15281845,100
claude_code,Claude Code CLI,7.16,0.21064224,0.0441815045,0,0,0.71,9.9,tau2_telecom,Tau Bench 2,0.6851851852,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.71,0.29,0.71,0,100,telecom,71,21.064224,4.41815045,25.48237445,100
openai_solo,OpenAI Solo,17.15,1.2459395,0.12244745,0,0,0.84,17.15,tau2_telecom,Tau Bench 2,0.84,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.84,0.16,0.84,0,100,telecom,84,124.59395,12.244745,136.838695,100
openai_solo,OpenAI Solo,9.92,0.147175455,0.04162018,0,0,0.53,9.92,tau2_telecom,Tau Bench 2,0.53,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.53,0.47,0.53,0,100,telecom,53,14.7175455,4.162018,18.8795635,100
openai_solo,OpenAI Solo,10.82,0.53513152,0.047735911,0,0,0.79,10.82,tau2_telecom,Tau Bench 2,0.8876404494,89,11,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0.11,0.89,0.79,0.1,0.79,0,100,telecom,79,53.513152,4.7735911,58.2867431,100
smolagents_code,SmolAgents Code,13.77,1.0643879,0.08183033,0,0,0.58,13.77,tau2_telecom,Tau Bench 2,0.58,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.58,0.42,0.58,0,100,telecom,58,106.43879,8.183033,114.621823,100
smolagents_code,SmolAgents Code,10.11,0.3035534775,0.0495170235,0,0,0.71,10.11,tau2_telecom,Tau Bench 2,0.71,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,1,0.71,0.29,0.71,0,100,telecom,71,30.35534775,4.95170235,35.3070501,100
smolagents_code,SmolAgents Code,12.71,0.3461699,0.0563759025,0,0,0.88,12.71,tau2_telecom,Tau Bench 2,0.88,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.88,0.12,0.88,0,100,telecom,88,34.61699,5.63759025,40.25458025,100
tool_calling,LiteLLM Tool Calling,17.22,0.91578125,0.104337262,0.01,0.05807200929,0.76,17.22,tau2_telecom,Tau Bench 2,0.76,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.76,0.24,0.76,0,100,telecom,76,91.578125,10.4337262,102.0118512,100
tool_calling,LiteLLM Tool Calling,10.18,0.1408951075,0.05833562,0,0,0.53,10.18,tau2_telecom,Tau Bench 2,0.5353535354,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,0.99,0.53,0.46,0.53,0.01,100,telecom,53,14.08951075,5.833562,19.92307275,100
tool_calling,LiteLLM Tool Calling,15.29,0.29797836,0.0695312405,0.17,1.111837802,0.73,14.84,tau2_telecom,Tau Bench 2,0.73,100,0,0,openai_gcp_gemini-3-pro-preview,openai/gcp/gemini-3-pro-preview,0,1,0.73,0.27,0.73,0,100,telecom,73,29.797836,6.95312405,36.75096005,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,17.22,0.91578125,0.104337262,0.01,0.05807200929,0.76,17.22,tau2_telecom,Tau Bench 2,0.76,100,0,0,openai_aws_claude-opus-4-5,openai/aws/claude-opus-4-5,0,1,0.76,0.24,0.76,0,100,telecom,76,91.578125,10.4337262,102.0118512,100
tool_calling_with_shortlisting,LiteLLM Tool Calling with Shortlisting,10.18,0.1408951075,0.05833562,0,0,0.53,10.18,tau2_telecom,Tau Bench 2,0.5353535354,100,0,0,openai_Azure_gpt-5.2-2025-12-11,openai/Azure/gpt-5.2-2025-12-11,0,0.99,0.53,0.46,0.53,0.01,100,telecom,53,14.08951075,5.833562,19.92307275,100
